LINK,CATEGORY,TITLE,SUMMARY,SENTIMENT,PUB_DATE,CLICKBAIT_PROB,ARTICLE_TYPE,TYPE_PROB
https://n.news.naver.com/mnews/article/469/0000924402?sid=102,IT/플랫폼,"""구청서 여권만 받고 나오면 안 되나요""… 차량 2부제·5부제 첫날 '혼란...","차량 2부제·5부제 첫날, 서울 도심 곳곳에서 혼란이 빚어졌다.",악재,2026-04-08 19:39,58.2,사실형,73.7
https://n.news.naver.com/mnews/article/008/0005341774?sid=101,IT/플랫폼,"""아, 삼전 샀어야 돼"" 네카오 개미들 '비명'...코스피 오르는데 뒷걸음...",네이버와 카카오의 목표주가가 하향되는 추세에 따라 코스피 오름에도 불구하고 주주들의 원성이 커져가고 있다.,악재,2026-04-09 04:20,31.6,사실형,88.4
https://n.news.naver.com/mnews/article/024/0000104662?sid=101,IT/플랫폼,역대급 실적에도 주가 부진…커머스주 전락한 네이버,네이버의 주가가 부진하고 있다. 지난해 사상 최대 실적에도 주가가 반등하지 못하는 이유는 AI 사업 성과가 증명되지 못했기 때문이다.,악재,2026-04-08 21:01,64.6,사실형,75.2
https://n.news.naver.com/mnews/article/079/0004134488?sid=102,IT/플랫폼,"창원시, 시민 크리에이터·쇼호스트 키운다",창원시가 소상공인의 온라인 홍보와 판로 확대를 지원하는 '2026년 소상공인 라이브커머스 지원 및 시민 크리에이터 양성 사업'을 시작한다.,호재,2026-04-08 17:28,26.8,사실형,81.4
https://n.news.naver.com/mnews/article/008/0005341674?sid=101,IT/플랫폼,"다른 주식은 쭉쭉 오르는데...""목표가 줄하향"" 네카오 개미 또 운다",네이버와 카카오의 목표주가가 하향되면서 주주들의 원성이 날로 커지고 있다.,악재,2026-04-08 17:34,24.8,사실형,88.3
https://n.news.naver.com/mnews/article/015/0005272686?sid=102,IT/플랫폼,"공영주차장 5부제 곳곳 혼란…""잠깐 화장실 간다"" 꼼수 주차도",공영주차장 5부제 시행 첫날부터 시민 불편이 발생하고 있다.,호재,2026-04-08 19:01,61.7,사실형,47.3
https://n.news.naver.com/mnews/article/009/0005663049?sid=101,IT/플랫폼,중동 진출 밀어붙였는데 … 맘 졸이는 네이버·카카오,네이버와 카카오의 사우디 사업이 중동 전쟁의 영향으로 위협받고 있다.,악재,2026-04-08 17:20,53.2,사실형,69.6
https://n.news.naver.com/mnews/article/031/0001020698?sid=101,IT/플랫폼,"제일기획, AI 배너 자동화 '베리에이드' 도입","제일기획이 AI 기반 배너 광고 자동화 솔루션 '베리에이드'를 도입하여 제작비 90% 이상 절감하고, 해외 법인 확대 계획을 발표했다.",호재,2026-04-08 17:24,23.9,사실형,44.8
https://n.news.naver.com/mnews/article/009/0005663099?sid=101,IT/플랫폼,신분증 없는 AI도 돈을 쓴다...디지털 지갑 시대의 도래[엠블록레터],"AI가 직접 결제를 하기 위해 블록체인 기술이 필요하며, 빅테크와 블록체인 방식의 두 가지 해법이 제시된다.",호재,2026-04-08 17:47,53.3,추론형,99.4
https://n.news.naver.com/mnews/article/092/0002417956?sid=105,IT/플랫폼,"주병기 공정거래위원장 ""쿠팡 끼워팔기, 혁신 없이 시장 잠식 우려""",주병기 공정거래위원장이 쿠팡의 '끼워팔기' 의혹에 대해 강도 높은 경고 메시지를 내놨다.,호재,2026-04-08 16:41,16.2,사실형,86.0
https://n.news.naver.com/mnews/article/421/0008876299?sid=101,IT/플랫폼,생방송 중 폭행·위법 행위 난무…플랫폼 제재 책임 어디까지,인터넷 생방송에서 폭행 등 위법 행위가 계속 발생해 플랫폼 사업자의 책임을 강화해야 한다는 지적이 나온다.,악재,2026-04-08 06:30,13.8,사실형,75.7
https://n.news.naver.com/mnews/article/016/0002626386?sid=101,IT/플랫폼,"택배값 올리는 세븐일레븐, 편의점 줄인상 신호탄? [중동發 물가쇼크]","세븐일레븐이 일반 택배 요금을 200원 인상하는 것으로 결정했으며, 이는 중동 사태로 인해 유류비 부담이 커지면서 이어질 택배비 인상 전망과 관련된 신호탄으로 간주되고 있다.",호재,2026-04-08 10:03,28.8,사실형,79.9
https://n.news.naver.com/mnews/article/117/0004051950?sid=105,IT/플랫폼,"“잘 벌어도 안 오른다”…네카오, AI 수익화가 주가 운명 가른다",네이버와 카카오의 주가가 실적과 별개로 움직이며 AI 수익화에 대한 시장의 관심이 높아지고 있다.,호재,2026-04-08 11:00,35.0,사실형,87.8
https://n.news.naver.com/mnews/article/366/0001155059?sid=101,IT/플랫폼,"80여 규격 자동 생성…제일기획, 배너 제작 자동화 도입",제일기획이 AI 기술을 활용한 배너 이미지 변형 자동화 솔루션 '베리에이드'를 도입하여 80여 개의 광고 규격에 맞는 배너를 자동으로 제작할 수 있다.,호재,2026-04-08 09:10,19.2,사실형,36.8
https://n.news.naver.com/mnews/article/082/0001375063?sid=102,IT/플랫폼,공영주차장 5부제 첫날… 시민 혼선 속 어수선한 출발,"공영주차장 5부제 첫날 시민 혼선 속 어수선한 출발, 출퇴근길 난감한 목소리",호재,2026-04-08 16:46,62.3,사실형,70.2
https://n.news.naver.com/mnews/article/421/0008876499?sid=103,IT/플랫폼,"에어비앤비, 삼성전자와 맞손…49개국 갤럭시 이용자 잡는다",에어비앤비는 삼성전자와의 협업을 통해 삼성 갤럭시 스마트폰 기본 웹 브라우저인 '삼성 인터넷'의 '빠른 실행' 메뉴에 에어비앤비 바로가기를 추가했다.,호재,2026-04-08 08:52,30.8,사실형,86.7
https://n.news.naver.com/mnews/article/277/0005746595?sid=102,IT/플랫폼,"[Invest&amp;Law]""단순 대응 넘어 경제분석까지""…8대 로펌 공정거래팀 '고도...",8대 로펌들이 공정거래 사건 대응 조직을 확대 및 고도화하고 있다.,호재,2026-04-08 13:16,12.6,사실형,86.7
https://n.news.naver.com/mnews/article/421/0008877315?sid=102,IT/플랫폼,"""공공기관 직원·민원인 구분 어떻게?""…차량2부제·5부제 첫날 '혼란'",공공기관 직원·민원인 구분에 혼란이 생겨 2부제·5부제 첫날 혼란이 이어졌다.,호재,2026-04-08 11:34,55.2,사실형,68.1
https://n.news.naver.com/mnews/article/003/0013873892?sid=105,IT/플랫폼,"""길 찾기는 기본, 이제는 경험을 판다""…구글맵 공습 앞두고 네카오 지...",네이버가 3년 만에 별점 리뷰 시스템을 다시 도입하여 경쟁력 강화에 나섰다.,호재,2026-04-08 06:00,52.4,사실형,75.8
https://n.news.naver.com/mnews/article/018/0006252935?sid=105,IT/플랫폼,"“선물용 모바일 쿠폰 ‘기프티콘’, 고독사 막았다”",광명시와 SK플래닛이 독거노인에게 모바일 쿠폰을 발송하여 생활 신호 확인을 통해 위험 상황을 발견했다.,호재,2026-04-08 15:34,31.7,사실형,68.7
https://n.news.naver.com/mnews/article/014/0005503535?sid=102,IT/반도체,"원주시, 대만 신주시와 AI 디지털헬스 협력 체계 구축",원주시가 대만 신주시와 AI 디지털헬스 협력 체계를 구축하고 글로벌 진출 기반을 다졌다.,호재,2026-04-07 09:45,13.6,예측형,42.2
https://n.news.naver.com/mnews/article/003/0013871944?sid=101,IT/반도체,"삼성전자, 올 1Q '어닝서프라이즈' 57조 영업익 비결은…""고부가 메모리...",삼성전자가 고부가 메모리 판매 확대에 힘입어 올해 1분기 영업이익이 사상 최대 '어닝서프라이즈'를 기록했다.,호재,2026-04-07 10:46,27.5,사실형,73.6
https://n.news.naver.com/mnews/article/016/0002625631?sid=101,IT/반도체,"AI 디지털헬스, 한국 원주-대만 신주, 협력한다",원주시가 대만의 AI EXPO Taiwan 2026에 참가하여 디지털헬스케어 인공지능(AI) 분야 글로벌 협력 기반을 확보했다.,호재,2026-04-07 07:50,18.7,사실형,69.3
https://n.news.naver.com/mnews/article/277/0005745282?sid=102,IT/반도체,"서울 직업교육, '로봇·AI' 중심으로 전환…""AI시대 이끌 기술 인재 육성...",서울시교육청이 로봇·AI 중심의 직업 교육을 강화해 AI·디지털 기술 인재를 육성하기로 했다.,호재,2026-04-06 08:36,17.3,사실형,45.0
https://n.news.naver.com/mnews/article/003/0013871286?sid=102,제약/바이오,"""자칫하면 실명""…황반변성 치료제 개발 불붙은 제약사",국내 제약바이오 기업들이 황반변성의 차세대 치료제를 개발하기 위해 노력하고 있다.,호재,2026-04-07 06:01,63.2,사실형,81.1
https://n.news.naver.com/mnews/article/001/0016006623?sid=105,제약/바이오,"[바이오스냅] SD바이오센서, 잠복결핵 진단 제품 글로벌펀드 조달 리스...",SD바이오센서는 글로벌 펀드 조달 리스트에 등재돼 잠복결핵 진단 제품으로서 세계 시장에서 실질적 판매 권한을 확보했다.,호재,2026-04-07 11:07,39.0,사실형,44.9
https://n.news.naver.com/mnews/article/003/0013868912?sid=102,제약/바이오,"롯데바이오로직스 ""日제약사서 항암신약 CDMO 수주""",롯데바이오로직스는 일본 제약사와 항암 신약을 위탁개발 및 생산 계약을 체결했다.,호재,2026-04-06 09:19,17.6,사실형,89.8
